dataset_key	article_ids	paper_dois	dataset_name	recovery_status	kg_ingestion_status	dataset_dois	verified_or_kg_source_urls	tei_repository_clues	existing_local_paths	tei_paths	source_owner_seed	retrieval_lead_seed	curation_notes_seed	tei_evidence_excerpt	next_action
tokyo	A03	10.1007/s10109-025-00481-4	Tokyo	already_in_repo	catalog_only_needs_reconciliation		https://pysal.org/notebooks/lib/libpysal/Example_Datasets.html		data/final_datasets/sf/Python_libpysal_tokyo.rds	corpus\papers\tei\atds_mgwr_ghislain_geniaux.tei.xml				use prices in France (DVF), ensuring a wide diversity in theme, sample sizes and number of explanatory variables. The table 5 describes the main characteristics of these datasets. Further details on Georgia, Clearwater, Tokyo and Berlin datasets can be found on Pysal website ( p y s a l . Because atds_mgwr requires computing the global AIC using the formula from Yu et al. (2020) at each iteration of the two stages of this estimator, it cannot be used for datasets larger than 5000 observations within a reasonable time frame. Therefore, atds_mgwr results are provided only for samples smaller than this threshold. Predictions are made using	verify exact paper extract, variables and licence
tokyo_apartment_rents_at_home_real_estate_data_library_2017_subset	N06		Tokyo apartment rents (At Home Real Estate Data Library, 2017 subset)	associated_repository_without_empirical_data			https://github.com/sshonosuke/BSPS		data/raw/papers/N06_BSPS/github_sshonosuke_BSPS/BSPS-main.zip	corpus\papers\tei\Bayesian Spatial Predictive Synthesis [N06].tei.xml			The official BSPS repository was downloaded and inspected. It contains BSPS.R and two simulation examples only; neither the Tsuga application nor the proprietary At Home Tokyo observations are bundled.	Spatial Predictive Synthesis Japan Society for Promotion of Science (KAKENHI) 25 Jan 2025 Danielle Cabel Fox School of Business Temple University Philadelphia USA Shonosuke Sugasawa Faculty of Economics Keio University Tokyo Japan Masahiro Kato Graduate School of Arts and Sciences The University of Tokyo Tokyo Japan Kōsaku Takanashi Center for Advanced Intelligence Project Riken Tokyo Japan Kenichiro Mcalinn Fox School of Business Temple University Philadelphia USA Bayesian Spatial Predictive Synthesis 25 Jan 2025 3334C5090125C4B0B36118B7A320F7AC arXiv:2203.05197v4[stat.ME] GROBID - A machine learning software for extracting information	classify as proprietary/manual access through At Home Real Estate Data Library unless an author-deposited analytical extract is found
tokyo_land_values_around_railway_stations	A13	10.1016/j.spasta.2019.02.003	Tokyo land values around railway stations	public_sources_exact_sample_not_deposited			https://nlftp.mlit.go.jp/ksj/			corpus\papers\tei\SVC_Murakami.tei.xml			A13 uses 7,679 officially assessed residential land-price observations in metropolitan Tokyo for 2010. Y is log land price (JPY/m2); published X are distance to nearest railway station, distance to Tokyo railway station, share of green area in 1-km grids, and anticipated flooding depth. The paper says all layers came from MLIT National Land Numerical Information, but gives no deposited analytical table or product identifiers.	efficient modeling for large datasets: Eliminating N from spatial regressions JSPS KAKENHI 1 March 2019 Daisuke Murakami Department of Data Science Institute of Statistical Mathematics 10-3 Midori-cho 190-8562 Tachikawa Tokyo Japan Daniel A Griffith dagriffith@utdallas.edu School of Economic, Political and Policy Science The University of Texas 800 W Campbell Rd 75080 Dallas Richardson TX USA Spatially varying coefficient modeling for large datasets: Eliminating N from spatial regressions 1 March 2019 D286265F7815BECDA4C4B4EF87DA8002 10.1016/j.spasta.2019.02.003 Received 18 July 2018 Accepted 22 February 2019 GROBID - A machine learning	identify the exact 2010 NLNI products and vintages for land prices, stations, green cover and flood depth; reconstruct and accept only if the 7,679-row sample and published variables can be matched
tsuga_canadensis_occurrence_in_michigan	N06		Tsuga canadensis occurrence in Michigan	pipeline_rds_built_manual_review	rds_fiche_and_kg_created_manual_review	10.32614/CRAN.package.spNNGP	https://cran.r-project.org/package=spNNGP | https://rdrr.io/cran/spNNGP/man/MI_TSCA.rda.html		data/raw/papers/N06_Tsuga_MI_TSCA/cran/spNNGP_1.0.2/spNNGP_1.0.2.tar.gz | data/raw/papers/N06_BSPS/github_sshonosuke_BSPS/BSPS-main.zip;data/final_datasets/sf/paper_n06_tsuga_mi_tsca.rds;wiki/datasets/fiches_datasets/paper_n06_tsuga_mi_tsca.md	corpus\papers\tei\Bayesian Spatial Predictive Synthesis [N06].tei.xml			Official spNNGP 1.0.2 source archive downloaded and verified to contain data/MI_TSCA.rda. Package documentation gives 17,743 rows and 9 variables: binary occurrence, six climate covariates and two projected Albers Equal Area coordinates. Repository-native sf artifact and fiche created; CRS deliberately unresolved because the package projection declaration conflicts with the stored coordinate scale.	ifically develop an efficient computation algorithm for the binary case, using the Pólya-gamma augmentation (Polson et al., 2013) . A series of simulated data and two real world applications, involving the occurrence of Tsuga canadensis and real-estate prices in Tokyo, Japan, illustrate the efficacy of our proposed method. Through these applications, we show that our method has distinct advantages over competing methods, including statistical and machine learning methods for spatial data and ensemble methods. Notably, we show that BSPS, synthesizing conventional spatial models, delivers better predictive accuracy than state-of-the-art ma	resolve the coordinate CRS/unit inconsistency if possible; keep manual_review and do not promote the binary BSPS task automatically
tyne_and_wear_car_ownership_wards	G01	10.1111/j.1538-4632.1996.tb00936.x	Tyne and Wear car-ownership wards	public_historical_source_reconstruction_required			https://www.nomisweb.co.uk/			corpus\papers\tei\G01.tei.xml	UK census-derived study data	Search paper supplement/reproduction packages for the 1996 GWR example	G01 uses 1991 UK Census ward-level car ownership, male unemployment and social class I in Tyne and Wear. No analysis file is deposited; historical Census tables and boundaries must be aligned.	atin the null non-stationa y one and also f o r testing whether individual regression coeficients are stable over geographic space. These techniques are demonstrated on a data set from the 1991 U. K. census relating car ownership rates to social class and mule unemployment. The paper concludes by discussing ways in which the technique can be extended. which attempts to capture this variation by Cali E rating a multiple regression hypothesis that the data m y be described by a global model rat a er than a 8 = (xtx)-lxty (2) INTRODUCTION One of the main objectives in spatial analysis is to identify the nature of relationships that exist betwee	recover 1991 ward tables/boundaries and verify the paper's exact ward universe and transformations
urbansimul_parcel_data_provence	E14	10.1016/j.regsciurbeco.2017.02.002	Urbansimul parcel data, Provence	project_portal_identified_access_to_verify			https://urbansimul.paca.inra.fr/urbansimul/			corpus\papers\tei\E14.tei.xml	Urbansimul project	Search project archive and article supplement using DOI 10.1016/j.regsciurbeco.2017.02.002	E14 points to the Urbansimul PACA portal for parcel data from 26 municipalities in Provence. The current accessibility and license of the exact 40,000-plus parcel extract remain to verify.	Approximate likelihood estimation of spatial probit models ☆ URBANSIMUL 20 February 2017 Davide Martinetti davide.martinetti@inra.fr ECODEVELOPPEMENT INRA 84000 Avignon France Ghislain Geniaux ghislain.geniaux@inra.fr ECODEVELOPPEMENT INRA 84000 Avignon France Approximate likelihood estimation of spatial probit models ☆ 20 February 2017 AFF248CFF9D68871D945CCDDE3E65838 10.1016/j.regsciurbeco.2017.02.002 Received 22 January 2016; Received in revised form 2 February 2017; Accepted 10 Febr	test portal access, locate the exact study extract and document redistribution rights before download
us_april_1948_precipitation_stations	S02	10.1198/106186006X132178	US April 1948 precipitation stations	pipeline_rds_built_manual_review	rds_fiche_and_kg_created_manual_review		https://cran.r-project.org/package=spam;https://www.image.ucar.edu/GSP/Data/US.monthly.met/		data/raw/papers/S02_US_April_1948_precipitation/spam/data/USprecip.rda;code/r_catalog/build_sf_datasets_papers.R;data/final_datasets/sf/paper_s02_us_april_1948_precip.rds;wiki/datasets/fiches_datasets/paper_s02_us_april_1948_precip.md	corpus\papers\tei\S02.tei.xml	NCAR US.monthly.met	Search archived URL cited in S02 and article supplement	Official spam::USprecip contains 11,918 locations: 5,906 observed (infill=1) and 6,012 infilled. S02 prose says 5,909, but Figure 8 says 5,906; loader follows the auditable official indicator and preserves anomaly as Y.	-in such that the user has no ability to manipulate the source code. Application In this section we apply covariance tapering in kriging to a large irregularly spaced dataset. We use aggregated monthly precipitation for April 1948 at 5,909 stations in the US 4 . For a detailed description of 4 Available at http://www.cgd.ucar.edu/stats/Data/US.monthly.met.html . Figure 5 : Influence of ordering on the performance. The top row shows the structure of the covariance matrix, the bottom row its upper triangular Cholesky factor. The first column is for an arbitrary numbering, the second for a row-by-row numbering, the third column is after a r	manually validate the generated fiche, formula and redistribution evidence before any package promotion
us_cigarette_panel	T04;T09	10.1016/j.jeconom.2016.11.004;10.1371/journal.pone.0261144	US state cigarette demand	downloaded_content_verified			https://doi.org/10.1371/journal.pone.0261144;https://spatial-panels.com/software/		data/raw/papers/T09_US_cigarette_panel/plos_10_1371_journal_pone_0261144/S1_Data.xls;data/raw/papers/T09_US_cigarette_panel/plos_10_1371_journal_pone_0261144/S2_Data.xls	corpus\papers\tei\T04.tei.xml;corpus\papers\tei\T09.tei.xml	spatial-panels.com / Baltagi-Levin data	Retrieve dataset and W from https://spatial-panels.com/software/ then archive provenance	Exact PLOS supplementary files recovered. S1 contains 1,380 rows = 46 states x 30 years and variables year, state, logc, logp, logpn, logy. S2 contains the 46x46 spatial weights matrix (read with col_names=FALSE). This source covers the common T04/T09 cigarette panel.	QML Estimation of spatial dynamic panel data models with endogenous time varying spatial weights matrices November 16, 2016 Xi Qu xiqu@sjtu.edu.cn Center for Statistical Science Shanghai Jiao Tong University Ohio State University Peking University Peking University Center for Statistical Science Shanghai Jiao Tong University Ohio State University Peking University Peking University Lung-Fei Lee Center for Statistical Science Shanghai Jiao Tong University Ohio State University Peking University Peking University Jihai Yu jihai.yu@gmail.com Center for Statistical Science Shanghai Jiao Tong University Ohio State University Peking Uni | set ( https://spatial-panels.com/software/ ) to illustrate our methodologies. The cigarette demand data set has been analyzed by many authors (see, [9, [23] [24] [25] [26] [27] ). The data set is based on a panel of 46 states and covers 1963 to 1992. The spatial weight matrix W is also given in the data set. We take the following two variables as explanatory variables, such as the logarithm average retail price of a pack of cigarettes measured in real terms, (X 1 ), and the logarithm real per capita disposable income (X 2 ). The dependent variable y it is the logarithm real per capita sales of cigarettes by persons of smoking age (14 ye	verify state/year coding and all workbook sheets against T04 and T09, then implement a panel-specific loader retaining W
us_county_lung_cancer_mortality	A09	10.1016/j.spasta.2018.07.005	US county lung-cancer mortality	public_sources_reconstruction_required			https://gis.cancer.gov/cancer-atlas/ | https://www.epa.gov/outdoor-air-quality-data			corpus\papers\tei\Generalised_spatial_and_spatiotemporal_autoregressive_conditional_heteroscedasti_W2511771736.tei.xml			A09 identifies five-year county lung/bronchus cancer mortality (2008–2012) from CDC/NCI and 2012 annual environmental averages from EPA. The merged county/monitor table is not deposited.	atial weights. Thus, a new nonlinear attempt, a spatial process for conditional heteroscedasticity, is needed to achieve the required flexibility of the model. To illustrate these variance clusters, we computed for each county the sample standard deviation of the residuals lying within a radius of 500 km (310.686 mi). In Figure 1 , the conditional sample standard deviation is visualized on the map (below, left) and by means of a simple histogram (below, right) . Obviously, we observe two major clusters of the residual's variance: the variance is higher in the Eastern United States compared with the Western United States. Moreover, these t	retrieve the cited mortality and EPA vintages, reproduce county exclusions and spatial aggregation, then verify the regression formula
us_county_teenage_pregnancy_rates	E03	10.1016/j.jeconom.2009.10.035	US county teenage-pregnancy rates	exact_legacy_sources_reconstruction_required			https://doi.org/10.1016/j.jeconom.2009.10.035			corpus\papers\tei\E03.tei.xml	Source described in E03	Search article supplement and cited county-rate source using DOI 10.1016/j.jeconom.2009.10.035	The application uses 761 counties in Colorado, Iowa, Kansas, Minnesota, Missouri, Montana, Nebraska, North Dakota, South Dakota and Wyoming. The reported sources are Thomas (1999), Health and Healthcare in the United States—County and Metro Area Data, and the 1990 US Census; no ready analytical table has been found.	obust. Asymptotically valid inferences can be drawn with consistently estimated covariance matrices. Efficiency can be improved by constructing the optimal weighted estimation. The approaches are applied to the study of county teenage pregnancy rates. The empirical results show a strong spatial convergence among county teenage pregnancy rates. Introduction Many economic processes, for example, housing decisions, technology adoption, unemployment, welfare participation, price decisions, etc., exhibit spatial patterns. Recently, spatial models that have a long history in regional science and geography have received substantial attention in	locate the Thomas 1999 CD-ROM/table and join its county variables to 1990 Census geography after verifying the paper formula and county exclusions
us_state_motor_vehicle_deaths_1980_2009	N01	10.1098/rspa.2020.0113	US state motor-vehicle deaths 1980-2009	identified_repository_login_required		10.3886/ICPSR34789.v2	https://doi.org/10.3886/ICPSR34789.v2 | https://doi.org/10.1371/journal.pone.0123339			corpus\papers\tei\An information-theoretic approach to study spatial dependencies in small datasets [N01].tei.xml			The PLOS source article gives the exact data citation: State Health Policy Research Dataset (SHePRD), 1980-2010, ICPSR 34789 v2. It documents FARS deaths plus NHTSA mileage/alcohol variables. ICPSR public files require a free Researcher Passport login and acceptance of terms.	ements, generated by linear or nonlinear autoregressive processes. Upon validation on synthetic processes, we examine datasets of human migration under climate change in Bangladesh and motor vehicle deaths in the United States of America. For both these real datasets, our approach is successful in identifying meaningful spatial patterns, begetting statisticallyprincipled insight into the mechanisms of important socioeconomic problems. Introduction The identification and quantification of spatial dependencies in ensembles of random variables is a ubiquitous problem in science and engineering [1] [2] [3] . From epidemiology [4] to ecology	retrieve ICPSR34789.v2 manually with an authorized ICPSR account, then reproduce N01's 1980-2009 state-year outcome and adjacency treatment
usgs_streamflow_northern_illinois_and_wisconsin	T10	10.1111/biom.12656	USGS streamflow, Northern Illinois and Wisconsin	public_api_reconstruction_requires_station_ids			https://waterservices.usgs.gov/ | https://api.waterdata.usgs.gov/			corpus\papers\tei\T10.tei.xml	US Geological Survey	Use USGS NWIS with station list and dates from article supplement	T10 uses daily mean discharge from 28 USGS stations in northern Illinois and Wisconsin from June through October 2013. Stations downstream of Lake Koshkonong on the Rock River and stations with extreme drainage areas were excluded; the remaining blocker is the exact 28 station IDs.	ins by applying the concept of the dimension expansion method in Bornn et al. (2012) . Simulations are conducted for both separable and nonseparable space-time covariance models, and the model is also illustrated with a streamflow dataset. Both simulation and data analyses show that modeling nonstationarity in both space and time can improve the predictive performance over stationary covariance models or models that are nonstationary in space but stationary in time. Introduction Interests in spatio-temporal data analysis are rising as such data has become more abundant in agriculture, atmospheric, hydrological, and other environmental science	inspect article supplement/code and upstream study for the station list; only then query USGS daily values and station metadata
vaucluse_house_price	A03	10.1007/s10109-025-00481-4	VaucluseHousePrice	pipeline_rds_built_manual_review	not_ingested_source_known		https://github.com/ggeniaux/tds_mgwr_datasets		data/raw/papers/Geniaux2026_TopDownScale_GitHub/my_dataf.Rdata | data/final_datasets/sf/paper_a03_vaucluse_house.rds	corpus\papers\tei\atds_mgwr_ghislain_geniaux.tei.xml			N=3215 after the author code restricts anneemut<=2019; response log_valeur_fonc; Lambert-93 EPSG:2154.	on MGWR) when applied to real datasets, compared to simulated data. On average, across the first five datasets, our approach requires approximately five times fewer GWR estimations, reaching up to 200 iterations for the VaucluseHousePrice dataset, foot_0 demonstrating its computational efficiency. Computational issues The MGWR algorithm proposed by FYK2017 has a computational complexity of O(kdn 2 log(n)), where k is the number of covariates, d is the number of backfitting iterations, and log(n) arises from the golden-section search used to determine the optimal bandwidth (Li and Fotheringham 2020) . A straightforward way to speed up comput	Add KG relation, formula override and readiness evidence; generate and manually verify fiche before package export.
ventura_and_los_angeles_pm2_5_point_and_areal_fusion	N04	10.1007/s13253-025-00720-7	Ventura and Los Angeles PM2.5 point-and-areal fusion	downloaded_content_verified			https://github.com/lcgodoy/jabe-d-25-00205;https://www.epa.gov/outdoor-air-quality-data/download-daily-data		data/raw/papers/N04_Hausdorff_Gaussian_process/github_lcgodoy_jabe_d_25_00205/jabe-d-25-00205-main.zip	corpus\papers\tei\Statistical Inferences and Predictions for Areal Data and Spatial Data Fusion with Hausdorff-Gaussian Processes [N04].tei.xml			Official repository named in N04 downloaded. It contains the complete PM2.5 application: dataset.rds (202 point stations, sf), pred-locations.rds (743 prediction units, sf), counties.rds, EPA station CSVs, satellite GeoTIFFs, cross-validation objects and analysis code.		extract the authoritative archive through a loader; verify the exact response/covariates and CRS from the repository scripts before creating the final sf artifact
west_antarctica_ice_sheet_thickness	N03	10.1007/s13253-024-00619-9	West Antarctica ice-sheet thickness	exact_public_source_reconstruction_required		10.5285/fa5d606c-dc95-47ee-9016-7a82e446f2f2	https://doi.org/10.5285/fa5d606c-dc95-47ee-9016-7a82e446f2f2 | https://github.com/benee55/PICAR_Z_Code		data/raw/papers/N03_PICAR_Z/github_benee55_PICAR_Z_Code/PICAR_Z_Code-main.zip	corpus\papers\tei\A Class of Models for Large Zero-inflated Spatial Data [N03].tei.xml			N03 explicitly uses Bedmap2 ice thickness, resampled to 20 km on a 171 x 171 Antarctic grid: 29,241 observations, including 10,327 zeros. The official UK Polar Data Centre gridding product is public; the PICAR-Z repository contains model code but not the derived grid.		inspect archive size and product structure before download, then reproduce the 20-km 171x171 grid and verify zero coding, projection and train/validation split (23,000/6,241)
