paper_title,authors,year,DOI,citation_count,already_in_corpus,domain,estimator_keywords,dataset_name,dataset_topic,dataset_size_if_available,response_variable,predictors_or_covariates,coordinates_or_geometry,W_or_neighbor_structure_if_available,regression_formula_or_model_specification,formula_status,data_access_url,code_url,open_access_pdf_url,reason_for_selection,ingestion_priority,verification_notes,source_url,matched_query
Enhancing Global Estimation of Fine Particulate Matter Concentrations by Including Geophysical <i>a Priori</i> Information in Deep Learning,Siyuan Shen; Chi Li; Aaron van Donkelaar; Nathan Jacobs; Chenguang Wang; Randall V. Martin,2024,10.1021/acsestair.3c00054,113,no,non vérifié,spatial_CV,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://pubs.acs.org/doi/pdf/10.1021/acsestair.3c00054,"spatial dataset likely, manual verification required; citations=113; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1021/acsestair.3c00054,health mortality spatial regression GWR dataset
The Impacts of Road Traffic on Urban Carbon Emissions and the Corresponding Planning Strategies,Haiyan Lei; Suiping Zeng; Aihemaiti Namaiti; Jian Zeng,2023,10.3390/land12040800,26,no,climate / weather; transport / mobility; land use / biodiversity,SAR; SEM; SDM; GWR,non vérifié,climate / weather; transport / mobility; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2073-445X/12/4/800/pdf?version=1680486872,"spatial dataset likely, manual verification required; citations=26; query=multiscale geographically weighted regression dataset MGWR",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/land12040800,multiscale geographically weighted regression dataset MGWR
Effects of Driving Factors on Forest Aboveground Biomass (AGB) in China’s Loess Plateau by Using Spatial Regression Models,Shichuan Yu; Quanping Ye; Qingxia Zhao; Zhen Li; Mei Zhang; Hailan Zhu; et al.,2022,10.3390/rs14122842,24,no,soil / geochemistry / pollution; land use / biodiversity,SAR; SEM; GWR,non vérifié,soil / geochemistry / pollution; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/14/12/2842/pdf?version=1655195259,"empirical/case-study dataset likely, manual verification required; citations=24; query=crop yield spatial regression GWR random forest dataset",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs14122842,crop yield spatial regression GWR random forest dataset
Improving Forest Aboveground Biomass Estimation of Pinus densata Forest in Yunnan of Southwest China by Spatial Regression using Landsat 8 Images,Guanglong Ou; Yanyu Lv; Hui Xu; Guangxing Wang,2019,10.3390/rs11232750,28,no,non vérifié,SAR; SEM; GWR,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/11/23/2750/pdf?version=1575370028,"spatial dataset likely, manual verification required; citations=28; query=crop yield spatial regression GWR random forest dataset",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs11232750,crop yield spatial regression GWR random forest dataset
An ensemble framework for explainable geospatial machine learning models,Lingbo Liu,2024,10.1016/j.jag.2024.104036,20,no,non vérifié,GWR; MGWR; SVC,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://arxiv.org/pdf/2403.03328,"dataset mentioned in title/abstract, manual verification required; citations=20; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.jag.2024.104036,geographically weighted regression dataset GWR MGWR bandwidth
"Nighttime Vitality and Its Relationship to Urban Diversity: An Exploratory Analysis in Shenzhen, China",Junwei Zhang; Xintao Liu; Xiaoyue Tan; Tao Jia; Ahmad M. Senousi; Jianwei Huang; et al.,2021,10.1109/jstars.2021.3130763,49,no,transport / mobility,GWR; MGWR,non vérifié,transport / mobility,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://ieeexplore.ieee.org/ielx7/4609443/9656571/09627772.pdf,"empirical/case-study dataset likely, manual verification required; citations=49; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1109/jstars.2021.3130763,geographically weighted regression dataset GWR MGWR bandwidth
Mapping crime – Hate crimes and hate groups in the USA: A spatial analysis with gridded data,Michael Jendryke; Stephen C. McClure,2019,10.1016/j.apgeog.2019.102072,48,no,crime / policing; education / inequality,SAR; GWR,non vérifié,crime / policing; education / inequality,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S014362281831004X/pdf,"spatial dataset likely, manual verification required; citations=48; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.apgeog.2019.102072,geographically weighted regression dataset GWR MGWR bandwidth
A human-scale investigation into economic benefits of urban green and blue infrastructure based on big data and machine learning: A case study of Wuhan,Jia Jia; Xiaoqing Zhang,2021,10.1016/j.jclepro.2021.128321,45,no,housing / real estate,GWR; MGWR,non vérifié,housing / real estate,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S0959652621025361/pdf,"dataset mentioned in title/abstract, manual verification required; citations=45; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.jclepro.2021.128321,geographically weighted regression dataset GWR MGWR bandwidth
Multilevel and spatial analyses of childhood malnutrition in Uganda: examining individual and contextual factors,Prince M. Amegbor; Zhaoxi Zhang; Rikke Dalgaard; Clive E. Sabel,2020,10.1038/s41598-020-76856-y,44,no,education / inequality; health / epidemiology; climate / weather,SEM; MGWR,non vérifié,education / inequality; health / epidemiology; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.nature.com/articles/s41598-020-76856-y.pdf,"spatial dataset likely, manual verification required; citations=44; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1038/s41598-020-76856-y,geographically weighted regression dataset GWR MGWR bandwidth
"Navigating Post-COVID-19 Social–Spatial Inequity: Unravelling the Nexus between Community Conditions, Social Perception, and Spatial Differentiation",Minjun Zhao; Ning Liu; Jinliu Chen; Danqing Wang; Pengcheng Li; Di Yang; et al.,2024,10.3390/land13040563,42,no,housing / real estate; education / inequality; health / epidemiology,GWR; MGWR,non vérifié,housing / real estate; education / inequality; health / epidemiology,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2073-445X/13/4/563/pdf?version=1713795412,"spatial dataset likely, manual verification required; citations=42; query=multiscale geographically weighted regression dataset MGWR",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/land13040563,multiscale geographically weighted regression dataset MGWR
"Spatial-temporal evolution of ecosystem services and its potential drivers: A geospatial perspective from Bairin Left Banner, China",Chenli Xue; Huiqiong Zhang; Simin Wu; Jianping Chen; Xinghua Chen,2022,10.1016/j.ecolind.2022.108760,40,no,agriculture / crop yield; soil / geochemistry / pollution; climate / weather; land use / biodiversity,GWR; MGWR,non vérifié,agriculture / crop yield; soil / geochemistry / pollution; climate / weather; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S1470160X2200231X/pdf,"spatial dataset likely, manual verification required; citations=40; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.ecolind.2022.108760,geographically weighted regression dataset GWR MGWR bandwidth
Analysis of port pollutant emission characteristics in United States based on multiscale geographically weighted regression,Guangnian Xiao; Tian Wang; Yuhang Luo; Daoqi Yang,2023,10.3389/fmars.2023.1131948,39,no,health / epidemiology,GWR; MGWR,non vérifié,health / epidemiology,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.frontiersin.org/articles/10.3389/fmars.2023.1131948/pdf,"spatial dataset likely, manual verification required; citations=39; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3389/fmars.2023.1131948,geographically weighted regression dataset GWR MGWR bandwidth
Restorative perception of urban streets: Interpretation using deep learning and MGWR models,Xin Han; Lei Wang; Jie He; Taeyeol Jung,2023,10.3389/fpubh.2023.1141630,39,no,agriculture / crop yield,GWR; MGWR,non vérifié,agriculture / crop yield,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.frontiersin.org/articles/10.3389/fpubh.2023.1141630/pdf,"empirical/case-study dataset likely, manual verification required; citations=39; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3389/fpubh.2023.1141630,geographically weighted regression dataset GWR MGWR bandwidth
"Modelling Spatial Heterogeneity in the Effects of Natural and Socioeconomic Factors, and Their Interactions, on Atmospheric PM2.5 Concentrations in China from 2000–2015",Tao Wu; Lixia Zhou; Guojun Jiang; Michael E. Meadows; Jianzhen Zhang; Lijie Pu; et al.,2021,10.3390/rs13112152,39,no,agriculture / crop yield; soil / geochemistry / pollution; climate / weather,GWR; MGWR,non vérifié,agriculture / crop yield; soil / geochemistry / pollution; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/13/11/2152/pdf?version=1622445792,"spatial dataset likely, manual verification required; citations=39; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs13112152,geographically weighted regression dataset GWR MGWR bandwidth
Exploring the Multiscale Relationship between the Built Environment and the Metro-Oriented Dockless Bike-Sharing Usage,Zhitao Li; Yuzhen Shang; Guanwei Zhao; Muzhuang Yang,2022,10.3390/ijerph19042323,38,no,Airbnb / tourism; transport / mobility,GWR; MGWR,non vérifié,Airbnb / tourism; transport / mobility,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/1660-4601/19/4/2323/pdf?version=1645158254,"empirical/case-study dataset likely, manual verification required; citations=38; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/ijerph19042323,geographically weighted regression dataset GWR MGWR bandwidth
Analyzing Spatial Variance of Airbnb Pricing Determinants Using Multiscale GWR Approach,Insu Hong; Changsok Yoo,2020,10.3390/su12114710,35,no,Airbnb / tourism,GWR; MGWR,non vérifié,Airbnb / tourism,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2071-1050/12/11/4710/pdf?version=1591965638,"spatial dataset likely, manual verification required; citations=35; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/su12114710,geographically weighted regression dataset GWR MGWR bandwidth
Spatially Non-Stationary Relationships between Changing Environment and Water Yield Services in Watersheds of China’s Climate Transition Zones,Zhe Cao; Wei Zhu; Pingping Luo; Shuangtao Wang; Zeming Tang; Yuzhu Zhang; et al.,2022,10.3390/rs14205078,35,no,agriculture / crop yield; climate / weather,GWR; MGWR,non vérifié,agriculture / crop yield; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/14/20/5078/pdf?version=1665716470,"spatial dataset likely, manual verification required; citations=35; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs14205078,geographically weighted regression dataset GWR MGWR bandwidth
Analysis of the coupling characteristics of land transfer and carbon emissions and its influencing factors: A case study of China,Maomao Zhang; Ziyi Zhang; Bin Tong; Bing Ren; Lei Zhang; Xuehan Lin,2023,10.3389/fenvs.2022.1105552,34,no,land use / biodiversity,GWR; MGWR,non vérifié,land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.frontiersin.org/articles/10.3389/fenvs.2022.1105552/pdf,"empirical/case-study dataset likely, manual verification required; citations=34; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3389/fenvs.2022.1105552,geographically weighted regression dataset GWR MGWR bandwidth
Analysis of the energy justice in natural gas distribution with Multiscale Geographically Weighted Regression (MGWR),Müzeyyen Anıl Şenyel Kürkçüoğlu,2022,10.1016/j.egyr.2022.11.188,30,no,education / inequality; soil / geochemistry / pollution,GWR; MGWR,non vérifié,education / inequality; soil / geochemistry / pollution,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S2352484722025768/pdf,"empirical/case-study dataset likely, manual verification required; citations=30; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.egyr.2022.11.188,geographically weighted regression dataset GWR MGWR bandwidth
Study on Eco-Environmental Effects of Land-Use Transitions and Their Influencing Factors in the Central and Southern Liaoning Urban Agglomeration: A Production–Living–Ecological Perspective,Ruiqiu Pang; Ning Hu; Jingrui Zhou; Dongqi Sun; Hongying Ye,2022,10.3390/land11060937,30,no,agriculture / crop yield,GWR; MGWR,non vérifié,agriculture / crop yield,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2073-445X/11/6/937/pdf?version=1655790757,"spatial dataset likely, manual verification required; citations=30; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/land11060937,geographically weighted regression dataset GWR MGWR bandwidth
The impact of health resource enhancement and its spatiotemporal relationship with population health,Leijie Qiu; Linsheng Yang; Hairong Li; Li Wang,2023,10.3389/fpubh.2022.1043184,29,no,health / epidemiology,GWR; MGWR,non vérifié,health / epidemiology,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.frontiersin.org/articles/10.3389/fpubh.2022.1043184/pdf,"spatial dataset likely, manual verification required; citations=29; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3389/fpubh.2022.1043184,geographically weighted regression dataset GWR MGWR bandwidth
"Analyzing the Spatially Heterogeneous Relationships between Nighttime Light Intensity and Human Activities across Chongqing, China",Jihao Wu; Yue Tu; Zuoqi Chen; Bailang Yu,2022,10.3390/rs14225695,28,no,health / epidemiology,GWR; MGWR,non vérifié,health / epidemiology,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/14/22/5695/pdf?version=1668149059,"empirical/case-study dataset likely, manual verification required; citations=28; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs14225695,geographically weighted regression dataset GWR MGWR bandwidth
Multi-Scenario Prediction of Landscape Ecological Risk in the Sichuan-Yunnan Ecological Barrier Based on Terrain Gradients,Binpin Gao; Yingmei Wu; Chen Li; Kejun Zheng; Yan Wu; Mengjiao Wang; et al.,2022,10.3390/land11112079,28,no,land use / biodiversity,GWR; MGWR,non vérifié,land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2073-445X/11/11/2079/pdf?version=1669162730,"spatial dataset likely, manual verification required; citations=28; query=multiscale geographically weighted regression dataset MGWR",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/land11112079,multiscale geographically weighted regression dataset MGWR
"Surface ozone pollution in China: Trends, exposure risks, and drivers",Chao He; Qian Wu; Bin Li; Jianhua Liu; Xi Gong; Lu Zhang,2023,10.3389/fpubh.2023.1131753,27,no,health / epidemiology; soil / geochemistry / pollution; climate / weather,GWR; MGWR,non vérifié,health / epidemiology; soil / geochemistry / pollution; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.frontiersin.org/articles/10.3389/fpubh.2023.1131753/pdf,"spatial dataset likely, manual verification required; citations=27; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3389/fpubh.2023.1131753,geographically weighted regression dataset GWR MGWR bandwidth
A spatial regression modeling framework for examining relationships between the built environment and pedestrian crash occurrences at macroscopic level: A study in a developing country context,Niaz Mahmud Zafri; Asif Khan,2022,10.1016/j.geosus.2022.09.005,27,no,land use / biodiversity,GWR; MGWR,non vérifié,land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S266668392200061X/pdf,"spatial dataset likely, manual verification required; citations=27; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.geosus.2022.09.005,geographically weighted regression dataset GWR MGWR bandwidth
Exploring multi-scale spatial relationship between built environment and public bicycle ridership: A case study in Nanjing,Cheng Lyu; Xinhua Wu; Yang Liu; Zhiyuan Liu; Xun Yang,2020,10.5198/jtlu.2020.1568,25,no,transport / mobility,GWR; MGWR,non vérifié,transport / mobility,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.jtlu.org/index.php/jtlu/article/download/1568/1504,"empirical/case-study dataset likely, manual verification required; citations=25; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.5198/jtlu.2020.1568,geographically weighted regression dataset GWR MGWR bandwidth
Combining APHRODITE Rain Gauges-Based Precipitation with Downscaled-TRMM Data to Translate High-Resolution Precipitation Estimates in the Indus Basin,Rabeea Noor; Arfan Arshad; Muhammad Shafeeque; Jinping Liu; Azhar Baig; Shoaib Ali; et al.,2023,10.3390/rs15020318,25,no,climate / weather,GWR; MGWR,non vérifié,climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/15/2/318/pdf?version=1673934193,"spatial dataset likely, manual verification required; citations=25; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs15020318,geographically weighted regression dataset GWR MGWR bandwidth
Spatiotemporal dynamics and influencing factors of human brucellosis in Mainland China from 2005–2021,Meng Zhang; Xinrui Chen; Qingqing Bu; Bo Tan; Tong Yang; Liyuan Qing; et al.,2024,10.1186/s12879-023-08858-w,24,no,health / epidemiology; soil / geochemistry / pollution; climate / weather,GWR; MGWR,non vérifié,health / epidemiology; soil / geochemistry / pollution; climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://bmcinfectdis.biomedcentral.com/counter/pdf/10.1186/s12879-023-08858-w,"spatial dataset likely, manual verification required; citations=24; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1186/s12879-023-08858-w,geographically weighted regression dataset GWR MGWR bandwidth
Do drivers of nature visitation vary spatially? The importance of context for understanding visitation of nature areas in Europe and North America,Arjan Gosal; Marta Lisli Giannichi; Michael Beckmann; Alexis Comber; Julian R. Massenberg; Julia Palliwoda; et al.,2021,10.1016/j.scitotenv.2021.145190,23,no,Airbnb / tourism; land use / biodiversity,GWR; MGWR,non vérifié,Airbnb / tourism; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S0048969721002564/pdf,"spatial dataset likely, manual verification required; citations=23; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.scitotenv.2021.145190,geographically weighted regression dataset GWR MGWR bandwidth
Examining Spatial Inequalities in Public Green Space Accessibility: A Focus on Disadvantaged Groups in England,Ziqian Bao; Yihang Bai; Tao Geng,2023,10.3390/su151813507,23,no,housing / real estate; crime / policing; education / inequality; health / epidemiology; transport / mobility,GWR; MGWR,non vérifié,housing / real estate; crime / policing; education / inequality; health / epidemiology; transport / mobility,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2071-1050/15/18/13507/pdf?version=1694242811,"spatial dataset likely, manual verification required; citations=23; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/su151813507,geographically weighted regression dataset GWR MGWR bandwidth
Assessing the Impact of Urbanization and Eco-Environmental Quality on Regional Carbon Storage: A Multiscale Spatio-Temporal Analysis Framework,Lu Niu; Zhengfeng Zhang; Yingzi Liang; Yanfen Huang,2022,10.3390/rs14164007,21,no,land use / biodiversity,GWR; MGWR,non vérifié,land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2072-4292/14/16/4007/pdf?version=1660740297,"empirical/case-study dataset likely, manual verification required; citations=21; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/rs14164007,geographically weighted regression dataset GWR MGWR bandwidth
MGWR reveals scale heterogeneity shaping intangible cultural heritage distribution in China,Fengling Wang; Tongyan Zhang; Shengrui Zhang,2025,10.1038/s40494-025-01938-x,20,no,climate / weather,GWR; MGWR,non vérifié,climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.nature.com/articles/s40494-025-01938-x.pdf,"spatial dataset likely, manual verification required; citations=20; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1038/s40494-025-01938-x,geographically weighted regression dataset GWR MGWR bandwidth
"The COVID-19 Mortality Rate Is Associated with Illiteracy, Age, and Air Pollution in Urban Neighborhoods: A Spatiotemporal Cross-Sectional Analysis",Alireza Mohammadi; Elahe Pishgar; Munazza Fatima; Aynaz Lotfata; Zohreh Fanni; Robert Bergquist; et al.,2023,10.3390/tropicalmed8020085,20,no,health / epidemiology; soil / geochemistry / pollution; transport / mobility,GWR; MGWR,non vérifié,health / epidemiology; soil / geochemistry / pollution; transport / mobility,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.mdpi.com/2414-6366/8/2/85/pdf?version=1675934353,"spatial dataset likely, manual verification required; citations=20; query=geographically weighted regression dataset GWR MGWR bandwidth",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.3390/tropicalmed8020085,geographically weighted regression dataset GWR MGWR bandwidth
Examining Opioid Overdose Deaths across Communities Defined by Racial Composition: a Multiscale Geographically Weighted Regression Approach,Amir Masoud Forati; Rina Ghose; John R. Mantsch,2021,10.1007/s11524-021-00554-x,43,no,non vérifié,GWR; MGWR,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://link.springer.com/content/pdf/10.1007/s11524-021-00554-x.pdf,"spatial dataset likely, manual verification required; citations=43; query=multiscale geographically weighted regression dataset MGWR",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1007/s11524-021-00554-x,multiscale geographically weighted regression dataset MGWR
"Uncovering drivers of community-level house price dynamics through multiscale geographically weighted regression: A case study of Wuhan, China",Binbin Lu; Yong Ge; Yilin Shi; Jianghua Zheng; Paul Harris,2022,10.1016/j.spasta.2022.100723,35,no,housing / real estate,GWR; MGWR,non vérifié,housing / real estate,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,non trouvé,"empirical/case-study dataset likely, manual verification required; citations=35; query=multiscale geographically weighted regression dataset MGWR",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.spasta.2022.100723,multiscale geographically weighted regression dataset MGWR
The distance decay effect and spatial reach of spillovers,J. Paul Elhorst; Ioanna Tziolas; Chang Tan; Petros Milionis,2024,10.1007/s10109-024-00440-5,34,no,non vérifié,SAR; SDM,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://link.springer.com/content/pdf/10.1007/s10109-024-00440-5.pdf,"spatial dataset likely, manual verification required; citations=34; query=multiscale geographically weighted regression dataset MGWR",medium,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1007/s10109-024-00440-5,multiscale geographically weighted regression dataset MGWR
